AAEXERCICIO,CD_MENSAL,VR_INICIAL,VR_ATUALIZADO,VR_EFETIVADO,VR_ACUMULADO,CD_PAI,NR_NIVEL
"ADMINISTRACAO DIRETA",2011,1,39990822924.00,39995562891.00,4255698588.83,4255698588.83,,1
"ADMINISTRACAO INDIRETA",2011,1,2748613508.00,2769474301.00,214708783.55,214708783.55,,1
"EMPRESA EST. DEPENDENTES",2011,1,77936626.00,77936626.00,5454028.66,5454028.66,,1
"FUNDOS",2011,1,3985139353.00,4027917410.00,270032225.04,270032225.04,,1
"ADMINISTRACAO DIRETA",2011,2,0.00,65674628.00,3336443696.80,7592142285.63,,1
"ADMINISTRACAO INDIRETA",2011,2,0.00,3418067.00,184604741.82,399313525.37,,1
"EMPRESA EST. DEPENDENTES",2011,2,0.00,0.00,6514774.12,11968802.78,,1
"FUNDOS",2011,2,0.00,37237763.00,355539818.50,625572043.54,,1
"ADMINISTRACAO DIRETA",2011,3,0.00,1193461.00,3390196451.61,10982338737.24,,1
"ADMINISTRACAO INDIRETA",2011,3,0.00,26900962.00,272452455.37,671765980.74,,1
"EMPRESA EST. DEPENDENTES",2011,3,0.00,0.00,3932808.63,15901611.41,,1
"FUNDOS",2011,3,0.00,3771901436.00,635320391.67,1260892435.21,,1
"ADMINISTRACAO DIRETA",2011,4,0.00,23461674.00,3561608059.73,14543946796.97,,1
"ADMINISTRACAO INDIRETA",2011,4,0.00,11415521.00,281875338.78,953641319.52,,1
"EMPRESA EST. DEPENDENTES",2011,4,0.00,0.00,5671839.63,21573451.04,,1
"FUNDOS",2011,4,0.00,545778.00,732605074.49,1993497509.70,,1
"ADMINISTRACAO DIRETA",2011,5,0.00,17119441.00,3036659560.16,17580606357.13,,1
"ADMINISTRACAO INDIRETA",2011,5,0.00,23122126.00,151027179.54,1104668499.06,,1
"EMPRESA EST. DEPENDENTES",2011,5,0.00,0.00,6240044.15,27813495.19,,1
"FUNDOS",2011,5,0.00,5125000.00,678742259.87,2672239769.57,,1
"ADMINISTRACAO DIRETA",2011,6,0.00,30001000.00,3408389906.17,20988996263.30,,1
"ADMINISTRACAO INDIRETA",2011,6,0.00,1655683.00,219595301.61,1324263800.67,,1
"EMPRESA EST. DEPENDENTES",2011,6,0.00,0.00,8072489.38,35885984.57,,1
"FUNDOS",2011,6,0.00,1165289.00,667713661.95,3339953431.52,,1
"ADMINISTRACAO DIRETA",2011,7,0.00,5005230.00,3219095862.31,24208092125.61,,1
"ADMINISTRACAO INDIRETA",2011,7,0.00,1172500.00,217914295.23,1542178095.90,,1
"EMPRESA EST. DEPENDENTES",2011,7,0.00,0.00,5448102.99,41334087.56,,1
"FUNDOS",2011,7,0.00,1500000.00,663784862.27,4003738293.79,,1
"ADMINISTRACAO DIRETA",2011,8,0.00,15573069.00,3358867143.94,27566959269.55,,1
"ADMINISTRACAO INDIRETA",2011,8,0.00,1001000.00,302520960.11,1844699056.01,,1
"EMPRESA EST. DEPENDENTES",2011,8,0.00,0.00,10597157.25,51931244.81,,1
"FUNDOS",2011,8,0.00,16400.00,751282882.80,4755021176.59,,1
"ADMINISTRACAO DIRETA",2011,9,0.00,295049869.00,3287193061.02,30854152330.57,,1
"ADMINISTRACAO INDIRETA",2011,9,0.00,1647141.00,209497803.16,2054196859.17,,1
"EMPRESA EST. DEPENDENTES",2011,9,0.00,0.00,6731246.40,58662491.21,,1
